commodity,model,date,forecast_price
Minyak Goreng Sawit Curah,GRU,2025-11-27,17014.154537702463
Minyak Goreng Sawit Curah,GRU,2025-11-28,17014.51936895706
Minyak Goreng Sawit Curah,GRU,2025-11-29,17014.87683410378
Minyak Goreng Sawit Curah,GRU,2025-11-30,17015.227079395307
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-01,20992.8637537911
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-02,20992.86810802799
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-03,20992.944545409606
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-04,20993.086828922525
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-05,20993.275536614652
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-06,20993.493226951865
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-07,20993.727660921133
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-08,20993.97120767588
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-09,20994.219460067194
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-10,20994.470021949517
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-11,20994.721661839758
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-12,20994.973784619087
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-13,20995.226124805235
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-14,20995.478578230748
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-15,20995.731114260292
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-16,20995.98062037591
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-17,20996.230130860145
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-18,20996.479692694407
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-19,20996.729339889687
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-20,20996.979093748498
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-21,20997.228966440867
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-22,20997.478964412196
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-23,20997.729157529637
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-24,20997.979482382656
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-25,20998.229938029348
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-26,20998.480523401835
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-27,20998.731237659737
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-28,20998.98208022333
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-29,20999.233050715604
Minyak Goreng Sawit Kemasan Premium,GRU,2025-11-30,20999.484148895343
Minyakita,GRU,2025-11-01,16971.504390259284
Minyakita,GRU,2025-11-02,16958.35990194521
Minyakita,GRU,2025-11-03,16945.927861760585
Minyakita,GRU,2025-11-04,16934.120660731955
Minyakita,GRU,2025-11-05,16922.86622413369
Minyakita,GRU,2025-11-06,16912.109716107556
Minyakita,GRU,2025-11-07,16901.810203874345
Minyakita,GRU,2025-11-08,16891.937032631486
Minyakita,GRU,2025-11-09,16882.59193593847
Minyakita,GRU,2025-11-10,16873.68750498819
Minyakita,GRU,2025-11-11,16865.198340509727
Minyakita,GRU,2025-11-12,16857.101113945922
Minyakita,GRU,2025-11-13,16849.37436185404
Minyakita,GRU,2025-11-14,16841.998252032376
Minyakita,GRU,2025-11-15,16834.95437299533
Minyakita,GRU,2025-11-16,16828.225556599915
Minyakita,GRU,2025-11-17,16821.795173431186
Minyakita,GRU,2025-11-18,16815.647885384
Minyakita,GRU,2025-11-19,16809.769314983776
Minyakita,GRU,2025-11-20,16804.14597038347
Minyakita,GRU,2025-11-21,16798.765177145553
Minyakita,GRU,2025-11-22,16793.61501652332
Minyakita,GRU,2025-11-23,16788.684269650974
Minyakita,GRU,2025-11-24,16783.962367004453
Minyakita,GRU,2025-11-25,16779.43934505024
Minyakita,GRU,2025-11-26,16775.105803070404
Minyakita,GRU,2025-11-27,16770.952864550203
Minyakita,GRU,2025-11-28,16766.972141749055
Minyakita,GRU,2025-11-29,16763.15570315156
Minyakita,GRU,2025-11-30,16759.496043525196
Telur Ayam Ras,GRU,2025-11-01,27547.334711536496
Telur Ayam Ras,GRU,2025-11-02,27530.083566870402
Telur Ayam Ras,GRU,2025-11-03,27515.4465842485
Telur Ayam Ras,GRU,2025-11-04,27502.496323716812
Telur Ayam Ras,GRU,2025-11-05,27490.573389952282
Telur Ayam Ras,GRU,2025-11-06,27479.29044648773
Telur Ayam Ras,GRU,2025-11-07,27468.436544126
Telur Ayam Ras,GRU,2025-11-08,27457.90023980532
Telur Ayam Ras,GRU,2025-11-09,27447.623273620065
Telur Ayam Ras,GRU,2025-11-10,27437.575319357842
Telur Ayam Ras,GRU,2025-11-11,27427.740356124938
Telur Ayam Ras,GRU,2025-11-12,27418.05552962839
Telur Ayam Ras,GRU,2025-11-13,27408.55796614546
Telur Ayam Ras,GRU,2025-11-14,27399.243550124105
Telur Ayam Ras,GRU,2025-11-15,27390.107874454337
Telur Ayam Ras,GRU,2025-11-16,27381.14819758241
Telur Ayam Ras,GRU,2025-11-17,27372.358281428827
