variant_id,commodity,satuan_display,date,price,nama_hari
27,Daging Ayam Ras,kg,2/28/2024,34667,Rabu
25,Telur Ayam Ras,kg,2/28/2024,28750,Rabu
26,Tepung Terigu,kg,2/28/2024,12500,Rabu
48,Kedelai Impor,kg,2/28/2024,15000,Rabu
2,Cabai Merah Keriting,kg,2/28/2024,81333,Rabu
10,Cabai Rawit Merah,kg,2/28/2024,52333,Rabu
9,Cabai Merah Besar,kg,2/28/2024,84000,Rabu
13,Bawang Merah,kg,2/28/2024,25333,Rabu
38,Bawang Putih Honan,kg,2/28/2024,32333,Rabu
52,Beras Medium,kg,2/29/2024,14717,Kamis
51,Beras Premium,kg,2/29/2024,15800,Kamis
14,Gula Pasir Curah,kg,2/29/2024,16500,Kamis
17,Minyak Goreng Sawit Kemasan Premium,lt,2/29/2024,25000,Kamis
16,Minyak Goreng Sawit Curah,lt,2/29/2024,15667,Kamis
18,Minyakita,lt,2/29/2024,14833,Kamis
19,Daging Sapi Paha Belakang,kg,2/29/2024,120000,Kamis
27,Daging Ayam Ras,kg,2/29/2024,34333,Kamis
25,Telur Ayam Ras,kg,2/29/2024,28750,Kamis
26,Tepung Terigu,kg,2/29/2024,12500,Kamis
48,Kedelai Impor,kg,2/29/2024,15000,Kamis
2,Cabai Merah Keriting,kg,2/29/2024,74667,Kamis
10,Cabai Rawit Merah,kg,2/29/2024,47333,Kamis
9,Cabai Merah Besar,kg,2/29/2024,79000,Kamis
13,Bawang Merah,kg,2/29/2024,24333,Kamis
38,Bawang Putih Honan,kg,2/29/2024,32333,Kamis
52,Beras Medium,kg,3/1/2024,14717,Jumat
51,Beras Premium,kg,3/1/2024,15800,Jumat
14,Gula Pasir Curah,kg,3/1/2024,16500,Jumat
17,Minyak Goreng Sawit Kemasan Premium,lt,3/1/2024,25000,Jumat
16,Minyak Goreng Sawit Curah,lt,3/1/2024,15667,Jumat
18,Minyakita,lt,3/1/2024,14833,Jumat
19,Daging Sapi Paha Belakang,kg,3/1/2024,120000,Jumat
27,Daging Ayam Ras,kg,3/1/2024,34333,Jumat
25,Telur Ayam Ras,kg,3/1/2024,28750,Jumat
26,Tepung Terigu,kg,3/1/2024,12500,Jumat
48,Kedelai Impor,kg,3/1/2024,15000,Jumat
2,Cabai Merah Keriting,kg,3/1/2024,74667,Jumat
10,Cabai Rawit Merah,kg,3/1/2024,47333,Jumat
9,Cabai Merah Besar,kg,3/1/2024,79000,Jumat
13,Bawang Merah,kg,3/1/2024,24333,Jumat
38,Bawang Putih Honan,kg,3/1/2024,32333,Jumat
52,Beras Medium,kg,3/4/2024,14717,Senin
51,Beras Premium,kg,3/4/2024,15800,Senin
14,Gula Pasir Curah,kg,3/4/2024,16500,Senin
17,Minyak Goreng Sawit Kemasan Premium,lt,3/4/2024,25000,Senin
16,Minyak Goreng Sawit Curah,lt,3/4/2024,15667,Senin
18,Minyakita,lt,3/4/2024,14833,Senin
19,Daging Sapi Paha Belakang,kg,3/4/2024,120000,Senin
27,Daging Ayam Ras,kg,3/4/2024,38000,Senin
25,Telur Ayam Ras,kg,3/4/2024,28750,Senin
26,Tepung Terigu,kg,3/4/2024,12500,Senin
48,Kedelai Impor,kg,3/4/2024,15000,Senin
2,Cabai Merah Keriting,kg,3/4/2024,70000,Senin
10,Cabai Rawit Merah,kg,3/4/2024,57000,Senin
9,Cabai Merah Besar,kg,3/4/2024,73333,Senin
13,Bawang Merah,kg,3/4/2024,24333,Senin
38,Bawang Putih Honan,kg,3/4/2024,32333,Senin
52,Beras Medium,kg,3/5/2024,14717,Selasa
51,Beras Premium,kg,3/5/2024,15800,Selasa
14,Gula Pasir Curah,kg,3/5/2024,16500,Selasa
17,Minyak Goreng Sawit Kemasan Premium,lt,3/5/2024,25000,Selasa
16,Minyak Goreng Sawit Curah,lt,3/5/2024,15667,Selasa
18,Minyakita,lt,3/5/2024,14833,Selasa
19,Daging Sapi Paha Belakang,kg,3/5/2024,120000,Selasa
27,Daging Ayam Ras,kg,3/5/2024,38000,Selasa
25,Telur Ayam Ras,kg,3/5/2024,28750,Selasa
26,Tepung Terigu,kg,3/5/2024,12500,Selasa
48,Kedelai Impor,kg,3/5/2024,15000,Selasa
2,Cabai Merah Keriting,kg,3/5/2024,70000,Selasa
10,Cabai Rawit Merah,kg,3/5/2024,57000,Selasa
9,Cabai Merah Besar,kg,3/5/2024,73333,Selasa
13,Bawang Merah,kg,3/5/2024,24333,Selasa
38,Bawang Putih Honan,kg,3/5/2024,32333,Selasa
52,Beras Medium,kg,3/6/2024,14717,Rabu
51,Beras Premium,kg,3/6/2024,15800,Rabu
14,Gula Pasir Curah,kg,3/6/2024,16500,Rabu
17,Minyak Goreng Sawit Kemasan Premium,lt,3/6/2024,25000,Rabu
16,Minyak Goreng Sawit Curah,lt,3/6/2024,15667,Rabu
18,Minyakita,lt,3/6/2024,14833,Rabu
19,Daging Sapi Paha Belakang,kg,3/6/2024,120000,Rabu
27,Daging Ayam Ras,kg,3/6/2024,38000,Rabu
25,Telur Ayam Ras,kg,3/6/2024,28750,Rabu
26,Tepung Terigu,kg,3/6/2024,12500,Rabu
48,Kedelai Impor,kg,3/6/2024,15000,Rabu
2,Cabai Merah Keriting,kg,3/6/2024,70000,Rabu
10,Cabai Rawit Merah,kg,3/6/2024,57000,Rabu
9,Cabai Merah Besar,kg,3/6/2024,73333,Rabu
13,Bawang Merah,kg,3/6/2024,24333,Rabu
